Symbol,Company,Industry,setup,entry,stop_loss,risk_pct,target_1,target_2,rr_target_1,rr_target_2,suggested_qty,capital_at_risk,composite,earnings_score,delivery_pct,pct_of_52w_high,holding,exit_rule
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",4942.5,4349.4,12.0,6128.7,7018.35,2.0,3.5,8,4745.0,89.2,92.9,42.0,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
RRKABEL,R R Kabel Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",2168.2,1908.02,12.0,2688.57,3078.84,2.0,3.5,19,4943.0,88.2,87.2,44.7,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",1101.2,986.62,10.4,1330.36,1502.23,2.0,3.5,43,4927.0,88.1,85.6,65.6,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",1266.7,1114.7,12.0,1570.71,1798.71,2.0,3.5,32,4864.0,87.9,86.1,29.0,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
LAURUSLABS,Laurus Labs Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1394.3,1226.98,12.0,1728.93,1979.91,2.0,3.5,29,4852.0,87.4,75.9,46.7,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",3145.3,2767.86,12.0,3900.17,4466.33,2.0,3.5,13,4907.0,87.3,77.9,45.2,0.91,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
FEDERALBNK,Federal Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",315.7,282.3,10.58,382.51,432.61,2.0,3.5,149,4977.0,86.0,,48.8,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",4571.2,4171.49,8.74,5370.63,5970.2,2.0,3.5,12,4797.0,85.1,53.7,52.9,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",8498.0,7702.91,9.36,10088.19,11280.83,2.0,3.5,6,4771.0,85.0,,58.4,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
WELCORP,Welspun Corp Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",1402.3,1234.02,12.0,1738.85,1991.27,2.0,3.5,29,4880.0,84.6,60.1,35.5,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",228.23,204.64,10.33,275.4,310.78,2.0,3.5,211,4977.0,84.4,58.6,30.4,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
