Symbol,Company,Industry,composite_score,weight
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,88.6,0.0066
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,88.2,0.0078
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,86.7,0.0065
RRKABEL,R R Kabel Ltd.,Capital Goods,86.6,0.0076
LAURUSLABS,Laurus Labs Ltd.,Healthcare,86.2,0.0094
FEDERALBNK,Federal Bank Ltd.,Financial Services,86.2,0.0111
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,85.5,0.0068
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,85.2,0.0136
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,84.2,0.0133
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,84.1,0.0096
APARINDS,Apar Industries Ltd.,Capital Goods,84.0,0.006
CUMMINSIND,Cummins India Ltd.,Capital Goods,83.8,0.01
BSE,BSE Ltd.,Financial Services,83.7,0.0068
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,83.2,0.009
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,83.0,0.0077
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,82.9,0.0099
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,82.7,0.0065
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,82.7,0.0071
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,82.5,0.0057
WELCORP,Welspun Corp Ltd.,Capital Goods,82.2,0.0078
HFCL,HFCL Ltd.,Telecommunication,82.0,0.006
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,81.9,0.008
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,81.8,0.012
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,81.5,0.0086
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,81.4,0.0056
ACMESOLAR,ACME Solar Holdings Ltd.,Power,81.4,0.0069
POLYCAB,Polycab India Ltd.,Capital Goods,81.4,0.0095
KEI,KEI Industries Ltd.,Capital Goods,80.7,0.0089
SAILIFE,Sai Life Sciences Ltd.,Healthcare,80.6,0.0078
USHAMART,Usha Martin Ltd.,Capital Goods,80.3,0.0079
